holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume
0,0.9297255458444866,0.0,0.0,0.4,0,9,0.7616758241758241
0,0.933208630309285,0.0,0.0,0.75,0,10,0.6203296703296703
0,0.9389492695197857,0.0,0.0,0.75,0,13,0.6755494505494506
0,0.9408198148805109,0.0,0.0,0.01,1,14,0.7116758241758242
0,0.9454961782823234,0.0,0.0,0.01,1,15,0.7670329670329671
0,0.9477214822459444,0.0,0.0,0.01,1,16,0.8262362637362637
0,0.9486245041442254,0.0,0.0,0.2,0,17,0.7954670329670329
0,0.9452704228077531,0.0,0.0,0.2,0,18,0.6552197802197802
0,0.9332731318734478,0.0,0.0,0.01,1,20,0.3824175824175824
0,0.9261134582513626,0.0,0.0,0.01,1,22,0.21002747252747253
0,0.9205985745154319,0.0,0.0,0.01,1,23,0.13228021978021978
0,0.9179540103847518,0.0,0.0,0.01,1,0,0.06950549450549451
0,0.9142129196633019,0.0,0.0,0.01,1,1,0.044093406593406596
0,0.9068274905666462,0.0,0.0,0.01,1,2,0.0375
0,0.9065372335279129,0.0,0.0,0.01,1,3,0.05041208791208791
0,0.9015061115232044,0.0,0.0,0.01,1,4,0.11181318681318682
0,0.898571290353791,0.0,0.0,0.01,1,5,0.37335164835164836
0,0.8973135098526139,0.0,0.0,0.01,1,6,0.7792582417582418
0,0.8969587512497178,0.0,0.0,0.01,1,8,0.8943681318681319
0,0.9416260844325476,0.0,0.0,0.01,1,12,0.7001373626373626
0,0.9491727674396104,0.0,0.0,0.01,1,14,0.7331043956043956
0,0.9519463346986164,0.0,0.0,0.01,1,15,0.7818681318681319
0,0.9518173315702906,0.0,0.0,0.01,1,16,0.8429945054945055
0,0.9470764666043152,0.0,0.0,0.2,0,18,0.6350274725274725
0,0.937368981197794,0.0,0.0,0.2,0,19,0.4932692307692308
0,0.9294352888057535,0.0,0.0,0.2,0,20,0.39807692307692305
0,0.9259199535588738,0.0,0.0,0.01,1,21,0.3622252747252747
0,0.9231786370819492,0.0,0.0,0.01,1,22,0.2440934065934066
0,0.9199858096558841,0.0,0.0,0.01,1,23,0.13942307692307693
0,0.9176960041281002,0.0,0.0,0.01,1,0,0.08214285714285714
0,0.9142129196633019,0.0,0.0,0.01,1,1,0.05068681318681319
0,0.9132453962008579,0.0,0.0,0.01,1,2,0.04285714285714286
0,0.9096010578256523,0.0,0.0,0.01,1,3,0.05041208791208791
0,0.9084722804528009,0.0,0.0,0.01,1,4,0.11469780219780219
0,0.9054084561550617,0.0,0.0,0.01,1,6,0.781456043956044
0,0.9048601928596768,0.0,0.0,0.01,1,7,0.9601648351648352
0,0.9090205437481859,0.0,0.0,0.01,1,8,0.8221153846153846
0,0.940271551585126,0.0,0.0,0.01,1,11,0.6708791208791208
0,0.9513013190569872,0.0,0.0,0.01,1,12,0.701098901098901
0,0.9558486793304737,0.0,0.0,0.01,1,13,0.7112637362637363
0,0.9588802528461314,0.0,0.0,0.01,1,14,0.7556318681318681
0,0.9616215693230561,0.0,0.0,0.01,1,15,0.7847527472527472
0,0.96126681072016,0.0,0.0,0.2,0,16,0.8642857142857143
0,0.9600090302189829,0.0,0.0,0.2,0,17,0.8320054945054945
0,0.9557841777663109,0.0,0.0,0.4,0,18,0.6740384615384616
